sourcePostId,title,proposedCollection,severity,message
629,Hapishane,yazilar,warning,"Öne çıkan görselin alt metni boş (post_id=629, https://mustafaeren.net/wp-content/uploads/2019/01/Ekran-Resmi-2019-01-11-21.56.29.png)"
629,Hapishane,yazilar,warning,"description WordPress excerpt'inden değil, gövde metninden otomatik türetildi — gözden geçirilmeli"
632,Mahpus sayısı 15 Temmuz'dan sonra 194 bine ulaştı,basinda,warning,"Öne çıkan görselin alt metni boş (post_id=632, https://mustafaeren.net/wp-content/uploads/2019/01/Ekran-Resmi-2019-01-11-22.18.43.png)"
632,Mahpus sayısı 15 Temmuz'dan sonra 194 bine ulaştı,basinda,warning,"description WordPress excerpt'inden değil, gövde metninden otomatik türetildi — gözden geçirilmeli"
638,90'ların işkence yöntemi falaka cezaevine geri döndü,basinda,warning,"Öne çıkan görselin alt metni boş (post_id=638, https://mustafaeren.net/wp-content/uploads/2019/01/Ekran-Resmi-2019-01-11-22.27.13.png)"
638,90'ların işkence yöntemi falaka cezaevine geri döndü,basinda,warning,"description WordPress excerpt'inden değil, gövde metninden otomatik türetildi — gözden geçirilmeli"
645,"Çocuk Mahpus Sayısı İki Ayda Yüzde 11,6 Arttı",yazilar,warning,"Öne çıkan görselin alt metni boş (post_id=645, https://mustafaeren.net/wp-content/uploads/2019/01/Ekran-Resmi-2019-01-11-22.50.16.png)"
645,"Çocuk Mahpus Sayısı İki Ayda Yüzde 11,6 Arttı",yazilar,warning,"description WordPress excerpt'inden değil, gövde metninden otomatik türetildi — gözden geçirilmeli"
648,Türkiye Hapishaneleri: Son 10 Yıl ve Yakın Dönemdeki Gelişmeler,yazilar,warning,"Öne çıkan görselin alt metni boş (post_id=648, https://mustafaeren.net/wp-content/uploads/2019/01/Ekran-Resmi-2019-01-11-22.52.44.png)"
657,“Kaza”dan “Kampüs”e Türkiye’nin Ceza İnfaz Sistemi,yazilar,warning,"Öne çıkan görselin alt metni boş (post_id=657, https://mustafaeren.net/wp-content/uploads/2019/01/Sosyal-Hukuk-Foto.jpg)"
1057,Hapishane Konulu Tezler Üzerinden Bir Değerlendirme Girişimi,yazilar,warning,"Öne çıkan görselin alt metni boş (post_id=1057, https://mustafaeren.net/wp-content/uploads/2017/03/Ekran-Resmi-2019-01-27-01.34.32.png)"
1598,Tek Tip Kıyafet İntikam Aracıdır,basinda,warning,"Öne çıkan görselin alt metni boş (post_id=1598, https://mustafaeren.net/wp-content/uploads/2021/06/Ekran-Resmi-2021-06-10-09.01.52.png)"
1598,Tek Tip Kıyafet İntikam Aracıdır,basinda,warning,"description WordPress excerpt'inden değil, gövde metninden otomatik türetildi — gözden geçirilmeli"
4164,Prisoners’ Right to Education Obstructed Through Statutory Decree,basinda,warning,"Öne çıkan görselin alt metni boş (post_id=4164, https://mustafaeren.net/wp-content/uploads/2025/02/Ekran-Resmi-2025-02-21-11.31.58-1.png)"
4164,Prisoners’ Right to Education Obstructed Through Statutory Decree,basinda,warning,"description WordPress excerpt'inden değil, gövde metninden otomatik türetildi — gözden geçirilmeli"
4171,KHK ile Mahpusların Öğrenim Hakkına Engelleme,basinda,warning,"Öne çıkan görselin alt metni boş (post_id=4171, https://mustafaeren.net/wp-content/uploads/2025/02/Ekran-Resmi-2025-02-21-11.46.00.png)"
95,En Büyük Engel İktidarın Kendisi,basinda,warning,"Öne çıkan görselin alt metni boş (post_id=95, https://mustafaeren.net/wp-content/uploads/2019/01/Ekran-Resmi-2019-01-03-13.21.37.png)"
95,En Büyük Engel İktidarın Kendisi,basinda,warning,"description WordPress excerpt'inden değil, gövde metninden otomatik türetildi — gözden geçirilmeli"
115,Cezaevlerindeki Tutuklu Sayısı 260 bini Aştı,basinda,warning,"Öne çıkan görselin alt metni boş (post_id=115, https://mustafaeren.net/wp-content/uploads/2019/01/Ekran-Resmi-2019-01-03-14.42.38.png)"
115,Cezaevlerindeki Tutuklu Sayısı 260 bini Aştı,basinda,warning,"description WordPress excerpt'inden değil, gövde metninden otomatik türetildi — gözden geçirilmeli"
141,“Hapsetmenin Alternatifleri” Konferansı: Denetimli Serbestlik ve Mahpus Ebeveyn ve Çocuk Hakları,basinda,warning,"Öne çıkan görselin alt metni boş (post_id=141, https://mustafaeren.net/wp-content/uploads/2019/01/Ekran-Resmi-2019-01-03-18.33.51.png)"
141,“Hapsetmenin Alternatifleri” Konferansı: Denetimli Serbestlik ve Mahpus Ebeveyn ve Çocuk Hakları,basinda,warning,"description WordPress excerpt'inden değil, gövde metninden otomatik türetildi — gözden geçirilmeli"
626,#HakÇetelesi CİSST/TCPS- Mustafa Eren,basinda,warning,"Öne çıkan görselin alt metni boş (post_id=626, https://mustafaeren.net/wp-content/uploads/2019/01/Ekran-Resmi-2019-01-11-21.49.51.png)"
626,#HakÇetelesi CİSST/TCPS- Mustafa Eren,basinda,warning,"description WordPress excerpt'inden değil, gövde metninden otomatik türetildi — gözden geçirilmeli"
1357,"Mahpus sayısı ""400 bin""i gördü mü? Bakanlık neden açıklamıyor?",yazilar,warning,"Öne çıkan görselin alt metni boş (post_id=1357, https://mustafaeren.net/wp-content/uploads/2020/11/Ekran-Resmi-2020-11-10-10.57.50.png)"
1385,"Fabrikalaşan Cezaevleri: ""Endüstriyel Kompleks Oluşturuldu""",basinda,warning,"description WordPress excerpt'inden değil, gövde metninden otomatik türetildi — gözden geçirilmeli"
1399,"Bakanlık: Bilgileri Hatalı Yorumluyordunuz, Kaldırdık",yazilar,warning,"Öne çıkan görselin alt metni boş (post_id=1399, https://mustafaeren.net/wp-content/uploads/2020/12/Ekran-Resmi-2020-12-16-09.14.50.png)"
1399,"Bakanlık: Bilgileri Hatalı Yorumluyordunuz, Kaldırdık",yazilar,warning,"description WordPress excerpt'inden değil, gövde metninden otomatik türetildi — gözden geçirilmeli"
1403,"Turkish gov’t accused of turning prisons into enterprises, exploiting inmates’ labor",basinda,warning,"Gövdede birden fazla farklı mecra domaini var (post_id=1403): scf, dw — etiket eşleşmesine geçildi"
